datetime_retrieved,song_title,published_date,channel,duration,views,video_url
03-04-2023_17:39,JISOO - ‘꽃(FLOWER)’ M/V,2023-03-31T04:00:14Z,BLACKPINK,00:03:05,72096681,https://youtu.be/YudHcBIxlYw
03-04-2023_17:39,"Thoduga Ma Thodundi Full Video Song | Balagam | Priyadarshi, Kavya | Venu Yeldandi |Bheems Ceciroleo",2023-03-21T11:30:56Z,Aditya Music India,00:06:04,5294571,https://youtu.be/XyitS-c4jAQ
03-04-2023_17:39,"Bathukamma - Kisi Ka Bhai Kisi Ki Jaan | Salman Khan, Pooja Hegde, Venkatesh D | Santhosh V, Ravi B",2023-03-31T06:33:07Z,Zee Music Company,00:02:07,12122031,https://youtu.be/tdOg8X0RV9I
03-04-2023_17:39,"O Bedardeya (Full Video) Tu Jhoothi Main Makkaar | Ranbir, Shraddha | Pritam,Arijit Singh, Amitabh B",2023-03-20T13:30:05Z,T-Series,00:05:24,14210611,https://youtu.be/EdftT8GMU1U
03-04-2023_17:39,Ooru Palletooru Full Video Song | Balagam | Priyadarshi | Mangli | Ram Miryala | Bheems Ceciroleo,2023-03-24T11:30:23Z,Aditya Music India,00:04:30,3089382,https://youtu.be/zKnBT68VJeI
03-04-2023_17:39,"Vaa Vaathi Full Video Song | Vaathi Movie | Dhanush, Samyuktha | GV Prakash Kumar | Venky Atluri",2023-03-14T04:29:11Z,Aditya Music Tamil,00:03:15,22662840,https://youtu.be/592mNGkpYig
03-04-2023_17:39,Balarama Narasayoo Full Video Song | Balagam | Venu Yeldandi | Bheems Ceciroleo,2023-03-25T10:30:18Z,Aditya Music India,00:05:01,1506057,https://youtu.be/gfE3Xmv_nx0
03-04-2023_17:39,Pathu Thala - Raawadi Video | Silambarasan TR | A. R Rahman | Gautham Karthik | Sayyesha Saigal,2023-03-25T12:33:04Z,Sony Music South,00:03:45,5563578,https://youtu.be/MYXn7T1lyJQ
03-04-2023_17:39,#Video | नागिन | Nagin | #Trending Star Khesari Lal Yadav | Shweta Sharma |  Bhojpuri Gaana,2023-03-23T01:30:10Z,Saregama Hum Bhojpuri,00:03:28,18981442,https://youtu.be/LsHWtwmk9Hk
03-04-2023_17:39,"Mastaaru Mastaaru Full Video Song | SIR Songs | Dhanush, Samyuktha | GV Prakash Kumar | Venky Atluri",2023-03-14T12:32:25Z,Aditya Music India,00:03:16,25799135,https://youtu.be/AXSm49NGkg8
