song_title,published_date,channel,language,duration_in_seconds,views_count,likes_count,video_url
Fear Song | Devara Part - 1 | NTR | Koratala Siva | Anirudh Ravichander | 10 Oct 2024,19-05-2024,T-Series Telugu,te,197,18680578,505862,https://youtu.be/CKpbdCciELk
Achacho - Video Song | Aranmanai 4  | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,07-05-2024,Think Music India,ta,193,16523177,219615,https://youtu.be/ijBxe70sd8M
Illuminati (Music Video) | Sushin Shyam | Dabzee | Vinayak Sasikumar | Think Originals,09-05-2024,Think Music India,ml,216,9529038,260165,https://youtu.be/yH7eDWTH5iM
Dekhha Tenu | Mr. & Mrs. Mahi | Rajkummar Rao| Janhvi Kapoor | Mohd. Faiz | Jaani | Aadesh S| Sameer,15-05-2024,Sony Music India,en,191,25869500,425740,https://youtu.be/rMfugUZD2dA
Amman Song - Video | Aranmanai 4  | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,13-05-2024,Think Music India,ta,266,2781303,40541,https://youtu.be/sVdWgzTMexQ
EMIWAY BANTAI  - INDEPENDENT | (PROD BY - TOKYO) | OFFICIAL MUSIC VIDEO,18-05-2024,Emiway Bantai,en-GB,229,1088502,166916,https://youtu.be/nktFZocWpi8
Fear Song | Devara Part - 1 | NTR | Koratala Siva | Anirudh Ravichander | 10 Oct 2024,19-05-2024,T-Series Tamil,ta,197,1568828,109952,https://youtu.be/WAM3E91iKWM
K For Kalyanam - Video Song | Guruvayoorambala Nadayil | Prithviraj | Basil | Anaswara | Ankit Menon,14-05-2024,Saregama Malayalam,ml,240,2035767,18892,https://youtu.be/wupHz8BTSm8
PUSHPA PUSHPA (Telugu Lyrical) Pushpa 2 The Rule | Allu Arjun | Sukumar |Rashmika| Chandrabose | DSP,01-05-2024,T-Series Telugu,te,260,35406611,893082,https://youtu.be/EdvydlHCViY
Saade Pind (Official  Video) | Khan Bhaini | Raj Shoker l Sycostyle | New Punjabi Song 2024,09-05-2024,Khan Bhaini,en,284,3867976,105493,https://youtu.be/f2udDNfbXI8
Armadham | Aavesham | Jithu Madhavan |Fahadh Faasil | Sushin Shyam | Vinayak| Nazriya| Anwar Rasheed,29-04-2024,Think Music India,ml,187,11392436,142733,https://youtu.be/HkvVaj_28C8
Ego Killer – Dhanda Nyoliwala (Music Video) | Deepesh Goyal | VYRL Haryanvi,09-05-2024,VYRL Haryanvi,hi,200,3807202,73009,https://youtu.be/PTjOWm3p5XM
Dhandho - Munawar x Spectra | Official Music Video | Sez On The Beat,09-05-2024,Munawar Faruqui,en-IN,176,3443333,345865,https://youtu.be/FG0GT-XnkPw
RAULE | (Official Video) | Gulab Sidhu | PS Chauhan | N Vee | Latest Punjabi Song  | 5911 Records,15-05-2024,5911 Records,pa,191,2661931,189110,https://youtu.be/BMX2QRcRAEY
Laara - Nirvair Pannu (Official Video) Deol Harman | Juke Dock,07-05-2024,Juke Dock,en,138,3207350,36699,https://youtu.be/KrwHAle-wec
Je Jatt Vigarh Gya | Lehmber Hussainpuri | Jai Randhhawa | Dr Zeus | Deep Sehgal,07-05-2024,Speed Records,pa,149,4100292,36733,https://youtu.be/ihizti5eRts
New Punjabi Songs 2024 - Muqaddar ( Full Video ) Gulab Sidhu | Fateh Shergill | Diamond | Music Tym,09-05-2024,Music Tym,Not Given,168,5776463,32779,https://youtu.be/xn_wrM7afbU
Maa (Official Music Video) | R Nait | Young Army | Punjabi Song 2024,10-05-2024,R Nait,pa,218,2478060,75193,https://youtu.be/mM3RdciQ98E
RM 'Come back to me' Official MV,10-05-2024,HYBE LABELS,en,342,12032292,1972860,https://youtu.be/NrfikKxF4Ps
Jaat Ni Honde (Official Video) KP Kundu | Bintu Pabra | New Haryanvi Songs Haryanavi 2024,18-05-2024,Nav Haryanvi,hi,258,1440386,58119,https://youtu.be/Vo-xp5CqIbA
Agar Ho Tum | Mr. & Mrs. Mahi | Rajkummar Rao| Janhvi Kapoor | Tanishk B.| Jubin N.| Kausar M.,20-05-2024,Sony Music India,en,207,8328156,151082,https://youtu.be/m4TQ-pIg5g4
Qatil Surma | Himmat Sandhu | Harman Brar | New Punjabi Song 2024 | Latest Punjabi Song 2024,14-05-2024,Speed Records,pa,194,1628898,17638,https://youtu.be/SHgYYAfbqDQ
SNAP (Official Music Video) Cheema Y | Gurlez Akhtar | Gur Sidhu | New Punjabi Song,11-05-2024,Brown Town Music,pa,167,5054109,98116,https://youtu.be/m-lwVG1Kax8
Pallakilo Puttadi Bomma | Full Song | 2024 Love Failure | Vedha Ponnam | Madeen Sk | Djshiva Vangoor,10-05-2024,Djshiva Vangoor,en,358,540418,18949,https://youtu.be/QG8_YAvv8qc
ଲାଲ୍ ଟହ ଟହ | Lal Taha Taha | Full Song | Odia Song | Pabar | Mantu | Aseema | Babushaan | Elina,10-05-2024,Amara Muzik Odia,or,273,1043213,40784,https://youtu.be/UY4XeMmHi88
Goin Off (Official Video) Karan Aujla | Mxrci | Latest Punjabi Songs 2024,09-05-2024,Rehaan Records,pa,163,17745840,357467,https://youtu.be/pLQw0DbubdM
Jo Jo - Video Song | Aranmanai 4  | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,29-04-2024,Think Music India,ta,213,6537844,53442,https://youtu.be/91nOLIsG-7M
കുട്ടിയും തൻസീറും പൊളിച്ചു 😁 രണ്ടാമത് കുഞ്ഞ് ഉണ്ടായപ്പോൾ 👉Bappante ponnalle | Thanseer Koothuparamba,13-05-2024,Taalboys Vision,ml,505,275741,4673,https://youtu.be/jjcQ_1sLGwg
#Video | भतरा के समान | #Awadhesh Premi Yadav | Bhatara Ke Saman | #Superhit New Bhojpuri Video 2024,18-05-2024,Awadhesh Premi Official,bh,156,246192,5166,https://youtu.be/XZleNg6Ueys
Bujh Patlo | Kaur B ft. R Nait | MixSingh | Latest Punjabi Song 2024 | New Punjabi Song 2024,03-05-2024,Speed Records,pa,206,4303702,60570,https://youtu.be/9ogLhxGDuWc
